X,Y,OBJECTID_1,OBJECTID,Nombre,Año_inscripción,web,Tipo
-4.779722222122773,37.879194440616864,1,1,Centro Histórico de Córdoba.,1984,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/cordoba.html,Cultural
-3.594440001015322,37.176670001402506,2,2,"Alhambra, Generalife y Albaicín de Granada.",1984,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/granada.html,Cultural
-3.704813888035846,42.34052777870555,3,3,Catedral de Burgos.,1984,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/catedralburgos.html,Cultural
-4.126416668155973,40.581750000428087,4,4,Monasterio y Real Sitio de El Escorial.,1984,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/escorial.html,Cultural
2.152971999710963,41.413380001145555,5,5,Obra de Gaudí.,1984,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/parqueguell.html,Cultural
-4.116166666185356,43.382527780487166,6,6,Cueva de Altamira y Arte Rupestre Paleolítico de la Cornisa Cantábrica.,1985,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/cantabria.html,Cultural
-4.116750000689816,40.948472220906645,7,7,Ciudad Vieja de Segovia y su Acueducto.,1985,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/segovia.html,Cultural
-5.843030000091429,43.362620001335998,8,8,Monumentos de Oviedo y del reino de Asturias.,1985,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/asturias.html,Cultural
-8.544680000076655,42.880760000348225,9,9,Ciudad Vieja de Santiago de Compostela.,1985,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/santiagocompost.html,Cultural
-4.700120000293933,40.656450001108098,10,10,Ciudad Vieja de Ávila e iglesias extramuros.,1985,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/avila.html,Cultural
-1.10722000003478,40.343890001112577,11,11,Arquitectura mudéjar de Aragón.,1986,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/mudejararagon.html,Cultural
-4.029416668218377,39.866888891531765,12,12,Ciudad Histórica de Toledo.,1986,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/toledo.html,Cultural
-17.237222219812249,28.126250000747589,13,13,Parque Nacional de Garajonay.,1986,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/garajonay.html,Natural
-6.370000000420824,39.474440000847338,14,14,Ciudad Vieja de Cáceres.,1986,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/caceres.html,Cultural
-5.991550000337421,37.383840000420861,15,15,"Catedral, Alcázar y Archivo de Indias de Sevilla.",1987,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/sevilla.html,Cultural
-5.664500000013506,40.965250001586973,16,16,Ciudad Vieja de Salamanca.,1988,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/salamanca.html,Cultural
1.082500001044587,41.380830000684014,17,17,Monasterio de Poblet.,1991,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/poblet.html,Cultural
-6.337780000361191,38.916110000892282,18,18,Conjunto arqueológico de Mérida.,1993,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/merida.html,Cultural
-5.327499999989542,39.45285000124619,19,19,Monasterio Real de Santa María de Guadalupe.,1993,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/santamariaguada.html,Cultural
-6.414722222598856,43.33500000074136,20,20,El Camino de Santiago.,1993,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/caminosantiago.html,Cultural
-6.358861000492223,36.94770000179124,21,21,Parque Nacional de Doñana.,1994,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/donana.html,Natural
-2.131739999068859,40.076620000944736,22,22,Ciudad Histórica amurallada de Cuenca.,1996,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/cuenca.html,Cultural
-0.378444444003391,39.474416671522128,23,23,La Lonja de la Seda de Valencia.,1996,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/lonjavalencia.html,Cultural
-6.77075000100112,42.469390001112032,24,24,Las Médulas.,1997,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/medulas.html,Cultural
2.175000000221239,41.387780000787181,25,25,Palau de la Música Catalana y Hospital de Sant Pau.,1997,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/palau.html,Cultural
-2.864959999612868,42.325860000871664,26,26,Monasterios de San Millán de Yuso y de Suso.,1997,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/riojasanmillan.html,Cultural
-1.033309999716168,39.789950001596154,27,27,Arte rupestre del Arco Mediterráneo de la Península Ibérica,1998,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/arterupestre.html,Cultural
-3.368055557281224,40.481388890722116,28,28,Universidad y recinto histórico de Alcalá de Henares.,1998,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/alcalahenares.html,Cultural
1.43519444404119,38.911138891186546,29,29,"Ibiza, biodiversidad y cultura.",1999,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/ibiza.html,Mixto
-16.311777779976332,28.477888890786978,30,30,San Cristóbal de La Laguna.,1999,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/laguna.html,Cultural
1.259305555577237,41.114722220954917,31,31,Conjunto arqueológico de Tarraco.,2000,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/tarraco.html,Cultural
-0.716666666650096,38.266666671447467,32,32,Palmeral de Elche.,2000,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/palmeralelche.html,Cultural
-7.553330000057867,43.011110000994272,33,33,Muralla romana de Lugo.,2000,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/lugo.html,Cultural
0.803611111248501,42.504722220377204,34,34,Iglesias románicas catalanas del Vall de Boi.,2000,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/iglesiasromanic.html,Cultural
-3.519006823589149,42.350611024020161,35,35,Cuenca arqueológica de Atapuerca.,2000,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/atapuerca.html,Cultural
-3.609340000001859,40.036450001515021,36,36,Paisaje cultural de Aranjuez.,2001,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/aranjuez.html,Cultural
-3.371220000430289,38.011310000878545,37,37,Conjunto monumental renacentista de Úbeda y Baeza.,2003,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/ubedabaeza.html,Cultural
-3.016833332661034,43.323175000939365,38,38,El Puente de Vizcaya.,2006,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/vizcaya.html,Cultural
-16.643611110660526,28.27138889013564,39,39,Parque Nacional de Teide.,2007,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/teide.html,Natural
-8.406388888697158,43.385833334265328,40,40,Torre de Hércules.,2009,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/torrehercules.html,Cultural
2.694722221260173,39.730833334689869,41,41,Paisaje cultural de la Sierra de la Tramontana.,2011,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/tramuntana.html,Cultural
0.012900000617732,42.662800000645689,42,42,Pirineos-Monte Perdido.,1997,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/monteperdido.html,Mixto
-6.660600000200525,40.696700000963212,43,43,Yacimientos de Arte Rupestre Prehistórico del Valle del Côa y Siega Verde.,2010,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/siegaverde.html,Cultural
-4.849000000390028,38.776300001396933,44,44,Patrimonio del Mercurio: Almadén e Idrija.,2012,http://www.mecd.gob.es/cultura-mecd/areas-cultura/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/mercurio.html,Cultural
-4.564222160731439,37.021040926493541,46,46,Antequera,2016,http://www.mecd.gob.es/cultura/areas/patrimonio/mc/patrimoniomundial/bienes-declarados/por-ano-de-inscripcion/antequera.html,Cultural
